subject;repetition;n_rpeaks;n_rr;n_valid_rr;n_invalid_rr;n_windows;n_valid_windows;n_rest_windows;n_gesture_windows;mean_hr_bpm;std_hr_bpm;sdnn_ms;rmssd_ms;pnn50_pct
S01;1;654;653;653;0;130;130;50;80;89.29;6.60;55.30;35.58;7.98
S01;2;665;664;663;1;129;120;50;79;91.27;9.25;64.99;42.35;8.01
S01;3;668;667;667;0;128;128;50;78;91.75;8.61;67.39;36.74;9.16
S01;4;686;685;685;0;129;129;50;79;94.60;10.76;75.94;48.99;9.50
S01;5;651;650;650;0;128;128;50;78;89.20;5.35;43.22;27.78;4.01
S01;6;712;711;710;1;174;170;49;125;88.50;6.39;54.74;36.79;7.05
S01;7;674;673;673;0;146;146;53;93;89.20;6.69;55.08;33.98;7.59
S01;8;640;639;639;0;130;130;50;80;87.44;6.40;55.64;35.11;7.05
S01;9;641;640;640;0;135;135;58;77;86.83;7.03;59.26;34.47;7.51
S01;10;641;640;640;0;130;130;50;80;87.61;6.32;51.91;25.97;3.76
S02;1;644;643;643;0;160;160;80;80;81.46;6.54;58.22;31.41;5.45
S02;2;580;579;579;0;130;130;50;80;79.37;6.79;68.45;47.22;5.71
S02;3;775;774;774;0;274;274;195;79;80.04;7.33;65.15;34.89;3.75
S02;4;733;732;732;0;267;267;155;112;76.84;7.78;74.77;30.71;9.30
S02;5;556;555;555;0;129;129;49;80;76.23;5.43;54.32;36.54;14.26
S02;6;562;561;561;0;130;130;50;80;76.93;5.95;57.77;30.74;8.93
S02;7;532;531;531;0;127;127;50;77;72.98;4.74;51.49;40.82;19.62
S02;8;548;547;547;0;129;129;49;80;75.24;5.29;55.00;41.04;20.15
S02;9;562;561;561;0;130;130;50;80;76.97;6.50;63.29;35.85;16.96
S02;10;551;550;550;0;126;126;50;76;76.19;6.67;61.79;42.27;15.30
S03;1;469;468;468;0;130;130;50;80;64.00;4.54;65.12;49.36;31.91
S03;2;483;482;482;0;129;129;49;80;66.21;5.69;77.14;71.58;30.77
S03;3;489;488;488;0;129;129;50;79;67.11;7.31;68.90;70.57;26.28
S03;4;504;503;503;0;129;129;50;79;69.30;6.41;89.65;85.09;23.11
S03;5;500;499;499;0;129;129;49;80;68.37;5.08;58.71;48.03;22.49
S03;6;500;499;499;0;129;129;49;80;68.57;5.12;64.63;45.50;26.10
S03;7;487;486;482;4;129;117;49;80;68.51;6.87;115.10;142.88;26.82
S03;8;506;505;503;2;130;127;50;80;70.06;7.05;112.59;125.55;23.51
S03;9;496;495;495;0;129;129;49;80;68.52;7.79;94.51;51.34;27.13
S03;10;490;489;489;0;130;130;50;80;67.15;5.83;74.92;50.57;29.51
S04;1;641;640;640;0;171;171;91;80;80.80;11.24;87.95;52.94;25.20
S04;2;570;569;569;0;130;130;50;80;77.87;5.34;52.97;38.24;18.13
S04;3;566;565;562;3;129;125;50;79;79.84;8.35;63.72;62.70;25.31
S04;4;566;565;560;5;129;123;49;80;81.90;17.26;104.90;108.02;25.94
S04;5;575;574;573;1;130;128;50;80;80.31;12.99;99.29;104.25;25.70
S04;6;592;591;590;1;130;128;50;80;81.53;13.20;89.78;76.26;18.17
S04;7;573;572;572;0;130;130;50;80;78.66;7.99;69.84;46.13;16.81
S04;8;563;562;555;7;130;126;50;80;84.09;17.06;111.31;92.09;22.92
S04;9;572;571;571;0;130;130;50;80;78.62;10.21;78.98;58.33;20.35
S04;10;575;574;574;0;130;130;50;80;79.08;9.64;84.35;45.86;22.69
S05;1;638;637;637;0;130;130;50;80;87.50;8.42;56.68;57.35;5.03
S05;2;629;628;628;0;129;129;50;79;86.04;7.42;52.25;55.93;5.26
S05;3;626;625;625;0;128;128;50;78;85.76;6.37;56.02;28.91;3.85
S05;4;624;623;623;0;129;129;50;79;85.92;10.27;67.27;48.22;5.95
S05;5;642;641;640;1;128;128;50;78;88.90;14.41;78.61;81.61;9.39
S05;6;629;628;627;1;129;128;49;80;86.76;10.49;65.88;65.50;6.87
S05;7;586;585;585;0;127;127;50;77;81.43;12.92;81.07;70.36;8.90
S05;8;590;589;588;1;130;129;50;80;81.63;14.32;86.96;97.52;12.61
S05;9;594;593;593;0;129;129;49;80;82.31;12.55;75.33;78.73;7.26
S05;10;604;603;603;0;130;130;50;80;83.10;10.14;64.54;47.44;4.49
S06;1;464;463;463;0;130;130;50;80;63.39;4.48;64.92;75.50;49.13
S06;2;461;460;460;0;130;130;50;80;63.06;7.28;81.50;80.58;50.11
S06;3;458;457;457;0;128;128;49;79;62.54;3.53;48.61;59.19;35.53
S06;4;471;470;470;0;130;130;50;80;64.50;9.67;75.87;77.08;39.45
S06;5;483;482;482;0;130;130;50;80;65.76;4.04;58.81;57.44;26.82
S06;6;488;487;487;0;128;128;50;78;67.18;8.72;75.90;77.74;34.98
